beauty_name,beauty_store,beauty_price,beauty_origin_area
Dr. Jart+ - 專業亮肌微細纖維面膜 (橙白藥丸 - 美白) - 5片/盒,NANA MALL,$102.90 ,韓國
Dr. Jart+ - 錦囊妙劑粉紅跳跳糖去角質面膜 (5片裝),NANA MALL,$103.00 ,韓國
Glamglow - 無瑕淨透深層清潔面膜,Lab Star International Ltd,$520.00 ,United States of America
Glamglow - 逆齡煥采面膜,Lab Star International Ltd,$520.00 ,United States of America
Glamglow - THIRSTYMUD 保濕補水面膜 (藍罐),NANA MALL,$399.00 ,美國
Glamglow - FLASHMUD 美白提亮發光面膜 (橙罐) ,NANA MALL,$399.00 ,美國
Glamglow - GRAVITYMUD 緊緻提亮撕揭面膜 (紫罐) ,NANA MALL,$399.00 ,美國
Glamglow - YOUTHMUD 亮顏去角質泥面膜 (黑罐) ,NANA MALL,$399.00 ,美國
Glamglow - SUPERMUD 雙重煥膚泥漿面膜 (白罐) ,NANA MALL,$399.00 ,美國
GLAM GLOW - 藍色發光面膜,Beauty & U,$325.00 ,
Lancome - 展扇濃黑睫毛膏防染暈配方,Beauty Box,$192.00 ,巴黎
Lancome - 肌底修護舒潤精華液 20ml (3614271678447),Beauty & U,$492.00 ,France
Lancome - 升級版冰鑽活膚亮眼肌底液 20ml,Beauty Soulmates,$538.00 ,France
Lancome - 清瀅溫和潔面卸妝乳 干性 (平行進口貨品),Bombuyman,$198.00 ,法國
Lancome - 溫和保濕水,Beauty Box,$358.00 , 法國
Lancome - 立體塑顏緊緻眼霜,Beauty Box,$468.00 , 法國
Lancome - Grandiose展扇濃黑睫毛膏 10g/0.35oz,NANA MALL,$231.00 , 法國
Lancome - 全新菁純彩妝盤 20.9g,Beauty & U,$448.00 ,France
Lancome - 水份緣小黑瓶睫毛膏 套裝,Beauty Soulmates,$99.00 ,France
JM Solution - 透明質酸黃金蠶絲補水面膜 10片/ 盒,NANA MALL,$85.00 ,韓國
JM Solution - 水光炸彈急救面膜 10片,Beauty Soulmates,$62.00 ,韓國
JM Solution - 皇家蜂膠精華 蜂蜜水光面膜 10片/盒,NANA MALL,$72.00 ,韓國
JM Solution - 水光急救針劑面膜 10片/盒,Beauty Box,$66.00 ,韓國
JM Solution - 藍色海洋珍珠深層保濕面膜 10片/盒,Beauty Box,$66.00 ,韓國
JM Solution - 積雪草修復 (紅藥丸) 膠囊面膜 10片/ 盒,NANA MALL,$69.00 ,韓國
JM Solution - 海洋珍珠深層保濕眼膜 60片,Beauty Soulmates,$98.00 ,韓國
JM Solution - 玫瑰精華面膜10片/盒,Beauty Soulmates,$65.00 ,韓國
JM Solution - 玫瑰隔離防曬棒 21g (滋潤型),Beauty Soulmates,$75.00 ,韓國
JMsolution - 肌司研 玫瑰保濕防曬噴霧 180ml,wishh! 官方旗艦店,$52.00 ,韓國
JMsolution - 潤光花朵全身防曬棒(玫瑰版) SPF50+/PA++++ 21g,wishh! 官方旗艦店,$39.00 ,韓國
JMsolution - 肌司研 青光珍珠防曬噴霧 SPF50+/PA++++ 180ml,wishh! 官方旗艦店,$52.00 ,韓國
JMsolution - 海洋珍珠全身防曬防水棒 SPF 50+ PA++++ 21g,wishh! 官方旗艦店,$39.00 ,韓國
JM - 蜂蜜面膜,Wonderful Beauty,$88.00 ,韓國
JM - 水光炸彈急救面膜 10片,SKINBASIC! 官方旗艦店,$118.00 ,韓國
Canmake - 高保濕防曬持久滋潤唇膏 (03櫻桃紅) 1.8g,wishh! 官方旗艦店,$65.00 ,
Canmake - 胭脂粉 (PW 38 梅子紅),wishh! 官方旗艦店,$62.00 ,
Canmake - 透亮美肌蜜粉餅 (#MO 淺膚色) 10g,wishh! 官方旗艦店,$97.00 ,
Canmake - 造影粉 (#01 珍珠藍調) 35g,wishh! 官方旗艦店,$79.00 ,
Canmake - 透亮美肌蜜粉餅 (#MB 自然膚色) 10g,wishh! 官方旗艦店,$97.00 ,
